,beta,init_rec_frac
1080,0.42,0.44
1081,0.42,0.45
1082,0.42,0.46
1083,0.42,0.47
1084,0.42,0.48
1085,0.42,0.49
1086,0.42,0.5
1087,0.42,0.51
1088,0.42,0.52
1089,0.42,0.53
1090,0.42,0.54
1091,0.42,0.55
1092,0.42,0.56
1093,0.42,0.57
1094,0.42,0.58
1095,0.42,0.59
1096,0.42,0.6
1097,0.42,0.61
1098,0.42,0.62
1099,0.42,0.63
1100,0.42,0.64
1101,0.42,0.65
1102,0.42,0.66
1103,0.42,0.67
1104,0.42,0.68
1105,0.42,0.69
1106,0.42,0.7
1107,0.42,0.71
1108,0.42,0.72
1109,0.42,0.73
1110,0.42,0.74
1111,0.42,0.75
1112,0.42,0.76
1113,0.42,0.77
1114,0.42,0.78
1115,0.42,0.79
1116,0.42,0.8
1117,0.42,0.81
1118,0.42,0.82
1119,0.42,0.83
1120,0.42,0.84
1121,0.42,0.85
1122,0.42,0.86
1123,0.42,0.87
1124,0.42,0.88
1125,0.42,0.89
1126,0.42,0.9
1127,0.42,0.91
1128,0.42,0.92
1129,0.42,0.93
1130,0.42,0.94
1131,0.42,0.95
1132,0.42,0.96
1133,0.42,0.97
1134,0.42,0.98
1135,0.42,0.99
1136,0.43,0.3
1137,0.43,0.32
1138,0.43,0.35
1139,0.43,0.36
1140,0.43,0.37
1141,0.43,0.38
1142,0.43,0.39
1143,0.43,0.4
1144,0.43,0.41
1145,0.43,0.42
1146,0.43,0.43
1147,0.43,0.44
1148,0.43,0.45
1149,0.43,0.46
1150,0.43,0.47
1151,0.43,0.48
1152,0.43,0.49
1153,0.43,0.5
1154,0.43,0.51
1155,0.43,0.52
1156,0.43,0.53
1157,0.43,0.54
1158,0.43,0.55
1159,0.43,0.56
1160,0.43,0.57
1161,0.43,0.58
1162,0.43,0.59
1163,0.43,0.6
1164,0.43,0.61
1165,0.43,0.62
1166,0.43,0.63
1167,0.43,0.64
1168,0.43,0.65
1169,0.43,0.66
1170,0.43,0.67
1171,0.43,0.68
1172,0.43,0.69
1173,0.43,0.7
1174,0.43,0.71
1175,0.43,0.72
1176,0.43,0.73
1177,0.43,0.74
